000568.SZ,000858.SZ,002007.SZ,002032.SZ,0388.HK,0700.HK,1093.HK,1169.HK,1177.HK,2269.HK,300015.SZ,600009.SH,600161.SH,600519.SH,600809.SH
40.55,51.25,37.34,50.6,224.8,274.4,18.74,17.28,8.08,63.05,28.52,49.91,22.17,570.0,33.84
39.95,50.17,38.01,50.4,225.6,272.2,17.7,17.54,7.72,63.25,28.01,50.0,22.15,555.1,33.18
40.4,50.59,38.06,50.2,229.0,288.0,17.44,17.56,7.43,65.4,28.37,50.4,22.16,559.7,33.41
40.29,50.69,36.75,50.72,228.4,290.4,17.4,17.44,7.36,65.8,28.12,51.6,21.87,560.0,33.59
41.44,51.69,36.62,51.0,228.0,291.2,17.1,18.4,7.51,67.7,28.39,51.03,22.02,569.02,34.49
40.32,50.61,37.45,50.03,224.2,281.6,16.2,17.62,7.19,65.55,27.68,50.04,21.57,561.6,33.34
41.19,51.13,39.19,52.18,225.0,289.6,16.56,17.68,7.44,65.8,27.95,50.04,21.81,564.7,33.52
41.3,50.99,39.12,51.73,226.4,295.0,16.0,18.44,7.07,65.15,27.83,49.39,22.11,564.5,33.45
40.23,50.02,38.53,51.26,226.0,291.2,15.9,17.92,7.07,61.8,27.45,49.0,21.22,556.9,32.49
40.02,50.09,38.37,51.98,229.4,298.0,16.1,17.8,7.19,59.8,28.22,49.21,20.95,552.11,32.16
39.78,49.78,38.22,52.5,228.2,303.8,16.16,17.78,7.23,59.95,28.59,47.98,21.07,548.1,32.3
40.22,50.24,38.39,53.26,230.4,314.8,16.32,18.12,7.42,62.15,28.59,49.45,21.2,557.0,32.84
39.95,50.43,37.28,52.97,228.2,312.0,15.84,18.68,7.1,64.15,28.04,48.43,20.73,551.6,33.7
41.0,52.39,37.78,53.7,228.0,312.0,15.84,18.22,7.14,65.6,28.5,50.1,21.7,565.0,35.85
42.9,55.09,39.32,54.19,235.0,324.8,16.18,19.0,7.31,67.55,29.82,51.26,22.22,601.2,38.08
42.95,54.95,39.66,54.65,239.8,328.4,16.52,19.18,7.23,67.6,30.51,52.08,22.62,602.23,38.13
43.82,54.91,40.36,54.97,235.8,321.0,16.16,18.64,6.95,66.4,30.32,51.65,22.84,610.1,39.72
42.28,53.0,38.43,54.59,231.0,304.2,13.82,18.22,5.84,62.35,30.0,50.5,22.57,591.8,38.66
42.61,53.2,37.78,53.81,229.0,310.6,13.22,18.24,5.38,59.0,29.4,49.93,22.78,587.0,38.34
